name,title,level,facing,categories,description,detail,remediation,metadata,cache_key
auth_rls_initplan,Auth RLS Initialization Plan,WARN,EXTERNAL,"[""PERFORMANCE""]",Detects if calls to `auth.<function>()` in RLS policies are being unnecessarily re-evaluated for each row,Table `public.user_sessions` has a row level security policy `Service role can manage sessions` that re-evaluates an auth.<function>() for each row. This produces suboptimal query performance at scale. Resolve the issue by replacing `auth.<function>()` with `(select auth.<function>())`. See [docs](https://supabase.com/docs/guides/database/postgres/row-level-security#call-functions-with-select) for more info.,https://supabase.com/docs/guides/database/database-linter?lint=0003_auth_rls_initplan,"{""name"":""user_sessions"",""type"":""table"",""schema"":""public""}",auth_rls_init_plan_public_user_sessions_Service role can manage sessions
multiple_permissive_policies,Multiple Permissive Policies,WARN,EXTERNAL,"[""PERFORMANCE""]",Detects if multiple permissive row level security policies are present on a table for the same `role` and `action` (e.g. insert). Multiple permissive policies are suboptimal for performance as each policy must be executed for every relevant query.,"Table `public.access_tiers` has multiple permissive policies for role `anon` for action `SELECT`. Policies include `{""Admins can manage tiers"",""Anyone can view active tiers""}`",https://supabase.com/docs/guides/database/database-linter?lint=0006_multiple_permissive_policies,"{""name"":""access_tiers"",""type"":""table"",""schema"":""public""}",multiple_permissive_policies_public_access_tiers_anon_SELECT
multiple_permissive_policies,Multiple Permissive Policies,WARN,EXTERNAL,"[""PERFORMANCE""]",Detects if multiple permissive row level security policies are present on a table for the same `role` and `action` (e.g. insert). Multiple permissive policies are suboptimal for performance as each policy must be executed for every relevant query.,"Table `public.access_tiers` has multiple permissive policies for role `authenticated` for action `SELECT`. Policies include `{""Admins can manage tiers"",""Anyone can view active tiers""}`",https://supabase.com/docs/guides/database/database-linter?lint=0006_multiple_permissive_policies,"{""name"":""access_tiers"",""type"":""table"",""schema"":""public""}",multiple_permissive_policies_public_access_tiers_authenticated_SELECT
multiple_permissive_policies,Multiple Permissive Policies,WARN,EXTERNAL,"[""PERFORMANCE""]",Detects if multiple permissive row level security policies are present on a table for the same `role` and `action` (e.g. insert). Multiple permissive policies are suboptimal for performance as each policy must be executed for every relevant query.,"Table `public.access_tiers` has multiple permissive policies for role `authenticator` for action `SELECT`. Policies include `{""Admins can manage tiers"",""Anyone can view active tiers""}`",https://supabase.com/docs/guides/database/database-linter?lint=0006_multiple_permissive_policies,"{""name"":""access_tiers"",""type"":""table"",""schema"":""public""}",multiple_permissive_policies_public_access_tiers_authenticator_SELECT
multiple_permissive_policies,Multiple Permissive Policies,WARN,EXTERNAL,"[""PERFORMANCE""]",Detects if multiple permissive row level security policies are present on a table for the same `role` and `action` (e.g. insert). Multiple permissive policies are suboptimal for performance as each policy must be executed for every relevant query.,"Table `public.access_tiers` has multiple permissive policies for role `dashboard_user` for action `SELECT`. Policies include `{""Admins can manage tiers"",""Anyone can view active tiers""}`",https://supabase.com/docs/guides/database/database-linter?lint=0006_multiple_permissive_policies,"{""name"":""access_tiers"",""type"":""table"",""schema"":""public""}",multiple_permissive_policies_public_access_tiers_dashboard_user_SELECT
multiple_permissive_policies,Multiple Permissive Policies,WARN,EXTERNAL,"[""PERFORMANCE""]",Detects if multiple permissive row level security policies are present on a table for the same `role` and `action` (e.g. insert). Multiple permissive policies are suboptimal for performance as each policy must be executed for every relevant query.,"Table `public.collection_items` has multiple permissive policies for role `anon` for action `SELECT`. Policies include `{""Anyone can view public collection items"",""Users can view own collection items""}`",https://supabase.com/docs/guides/database/database-linter?lint=0006_multiple_permissive_policies,"{""name"":""collection_items"",""type"":""table"",""schema"":""public""}",multiple_permissive_policies_public_collection_items_anon_SELECT
multiple_permissive_policies,Multiple Permissive Policies,WARN,EXTERNAL,"[""PERFORMANCE""]",Detects if multiple permissive row level security policies are present on a table for the same `role` and `action` (e.g. insert). Multiple permissive policies are suboptimal for performance as each policy must be executed for every relevant query.,"Table `public.collection_items` has multiple permissive policies for role `authenticated` for action `SELECT`. Policies include `{""Anyone can view public collection items"",""Users can view own collection items""}`",https://supabase.com/docs/guides/database/database-linter?lint=0006_multiple_permissive_policies,"{""name"":""collection_items"",""type"":""table"",""schema"":""public""}",multiple_permissive_policies_public_collection_items_authenticated_SELECT
multiple_permissive_policies,Multiple Permissive Policies,WARN,EXTERNAL,"[""PERFORMANCE""]",Detects if multiple permissive row level security policies are present on a table for the same `role` and `action` (e.g. insert). Multiple permissive policies are suboptimal for performance as each policy must be executed for every relevant query.,"Table `public.collection_items` has multiple permissive policies for role `authenticator` for action `SELECT`. Policies include `{""Anyone can view public collection items"",""Users can view own collection items""}`",https://supabase.com/docs/guides/database/database-linter?lint=0006_multiple_permissive_policies,"{""name"":""collection_items"",""type"":""table"",""schema"":""public""}",multiple_permissive_policies_public_collection_items_authenticator_SELECT
multiple_permissive_policies,Multiple Permissive Policies,WARN,EXTERNAL,"[""PERFORMANCE""]",Detects if multiple permissive row level security policies are present on a table for the same `role` and `action` (e.g. insert). Multiple permissive policies are suboptimal for performance as each policy must be executed for every relevant query.,"Table `public.collection_items` has multiple permissive policies for role `dashboard_user` for action `SELECT`. Policies include `{""Anyone can view public collection items"",""Users can view own collection items""}`",https://supabase.com/docs/guides/database/database-linter?lint=0006_multiple_permissive_policies,"{""name"":""collection_items"",""type"":""table"",""schema"":""public""}",multiple_permissive_policies_public_collection_items_dashboard_user_SELECT
multiple_permissive_policies,Multiple Permissive Policies,WARN,EXTERNAL,"[""PERFORMANCE""]",Detects if multiple permissive row level security policies are present on a table for the same `role` and `action` (e.g. insert). Multiple permissive policies are suboptimal for performance as each policy must be executed for every relevant query.,"Table `public.collections` has multiple permissive policies for role `anon` for action `SELECT`. Policies include `{""Admins can view all collections"",""Anyone can view public collections"",""Users can view own collections""}`",https://supabase.com/docs/guides/database/database-linter?lint=0006_multiple_permissive_policies,"{""name"":""collections"",""type"":""table"",""schema"":""public""}",multiple_permissive_policies_public_collections_anon_SELECT
multiple_permissive_policies,Multiple Permissive Policies,WARN,EXTERNAL,"[""PERFORMANCE""]",Detects if multiple permissive row level security policies are present on a table for the same `role` and `action` (e.g. insert). Multiple permissive policies are suboptimal for performance as each policy must be executed for every relevant query.,"Table `public.collections` has multiple permissive policies for role `authenticated` for action `SELECT`. Policies include `{""Admins can view all collections"",""Anyone can view public collections"",""Users can view own collections""}`",https://supabase.com/docs/guides/database/database-linter?lint=0006_multiple_permissive_policies,"{""name"":""collections"",""type"":""table"",""schema"":""public""}",multiple_permissive_policies_public_collections_authenticated_SELECT
multiple_permissive_policies,Multiple Permissive Policies,WARN,EXTERNAL,"[""PERFORMANCE""]",Detects if multiple permissive row level security policies are present on a table for the same `role` and `action` (e.g. insert). Multiple permissive policies are suboptimal for performance as each policy must be executed for every relevant query.,"Table `public.collections` has multiple permissive policies for role `authenticator` for action `SELECT`. Policies include `{""Admins can view all collections"",""Anyone can view public collections"",""Users can view own collections""}`",https://supabase.com/docs/guides/database/database-linter?lint=0006_multiple_permissive_policies,"{""name"":""collections"",""type"":""table"",""schema"":""public""}",multiple_permissive_policies_public_collections_authenticator_SELECT
multiple_permissive_policies,Multiple Permissive Policies,WARN,EXTERNAL,"[""PERFORMANCE""]",Detects if multiple permissive row level security policies are present on a table for the same `role` and `action` (e.g. insert). Multiple permissive policies are suboptimal for performance as each policy must be executed for every relevant query.,"Table `public.collections` has multiple permissive policies for role `dashboard_user` for action `SELECT`. Policies include `{""Admins can view all collections"",""Anyone can view public collections"",""Users can view own collections""}`",https://supabase.com/docs/guides/database/database-linter?lint=0006_multiple_permissive_policies,"{""name"":""collections"",""type"":""table"",""schema"":""public""}",multiple_permissive_policies_public_collections_dashboard_user_SELECT
multiple_permissive_policies,Multiple Permissive Policies,WARN,EXTERNAL,"[""PERFORMANCE""]",Detects if multiple permissive row level security policies are present on a table for the same `role` and `action` (e.g. insert). Multiple permissive policies are suboptimal for performance as each policy must be executed for every relevant query.,"Table `public.design_files` has multiple permissive policies for role `anon` for action `SELECT`. Policies include `{design_files_select_admin,design_files_select_public}`",https://supabase.com/docs/guides/database/database-linter?lint=0006_multiple_permissive_policies,"{""name"":""design_files"",""type"":""table"",""schema"":""public""}",multiple_permissive_policies_public_design_files_anon_SELECT
multiple_permissive_policies,Multiple Permissive Policies,WARN,EXTERNAL,"[""PERFORMANCE""]",Detects if multiple permissive row level security policies are present on a table for the same `role` and `action` (e.g. insert). Multiple permissive policies are suboptimal for performance as each policy must be executed for every relevant query.,"Table `public.design_files` has multiple permissive policies for role `authenticated` for action `SELECT`. Policies include `{design_files_select_admin,design_files_select_public}`",https://supabase.com/docs/guides/database/database-linter?lint=0006_multiple_permissive_policies,"{""name"":""design_files"",""type"":""table"",""schema"":""public""}",multiple_permissive_policies_public_design_files_authenticated_SELECT
multiple_permissive_policies,Multiple Permissive Policies,WARN,EXTERNAL,"[""PERFORMANCE""]",Detects if multiple permissive row level security policies are present on a table for the same `role` and `action` (e.g. insert). Multiple permissive policies are suboptimal for performance as each policy must be executed for every relevant query.,"Table `public.design_files` has multiple permissive policies for role `authenticator` for action `SELECT`. Policies include `{design_files_select_admin,design_files_select_public}`",https://supabase.com/docs/guides/database/database-linter?lint=0006_multiple_permissive_policies,"{""name"":""design_files"",""type"":""table"",""schema"":""public""}",multiple_permissive_policies_public_design_files_authenticator_SELECT
multiple_permissive_policies,Multiple Permissive Policies,WARN,EXTERNAL,"[""PERFORMANCE""]",Detects if multiple permissive row level security policies are present on a table for the same `role` and `action` (e.g. insert). Multiple permissive policies are suboptimal for performance as each policy must be executed for every relevant query.,"Table `public.design_files` has multiple permissive policies for role `dashboard_user` for action `SELECT`. Policies include `{design_files_select_admin,design_files_select_public}`",https://supabase.com/docs/guides/database/database-linter?lint=0006_multiple_permissive_policies,"{""name"":""design_files"",""type"":""table"",""schema"":""public""}",multiple_permissive_policies_public_design_files_dashboard_user_SELECT
multiple_permissive_policies,Multiple Permissive Policies,WARN,EXTERNAL,"[""PERFORMANCE""]",Detects if multiple permissive row level security policies are present on a table for the same `role` and `action` (e.g. insert). Multiple permissive policies are suboptimal for performance as each policy must be executed for every relevant query.,"Table `public.design_tags` has multiple permissive policies for role `anon` for action `SELECT`. Policies include `{design_tags_select_admin,design_tags_select_public}`",https://supabase.com/docs/guides/database/database-linter?lint=0006_multiple_permissive_policies,"{""name"":""design_tags"",""type"":""table"",""schema"":""public""}",multiple_permissive_policies_public_design_tags_anon_SELECT
multiple_permissive_policies,Multiple Permissive Policies,WARN,EXTERNAL,"[""PERFORMANCE""]",Detects if multiple permissive row level security policies are present on a table for the same `role` and `action` (e.g. insert). Multiple permissive policies are suboptimal for performance as each policy must be executed for every relevant query.,"Table `public.design_tags` has multiple permissive policies for role `authenticated` for action `SELECT`. Policies include `{design_tags_select_admin,design_tags_select_public}`",https://supabase.com/docs/guides/database/database-linter?lint=0006_multiple_permissive_policies,"{""name"":""design_tags"",""type"":""table"",""schema"":""public""}",multiple_permissive_policies_public_design_tags_authenticated_SELECT
multiple_permissive_policies,Multiple Permissive Policies,WARN,EXTERNAL,"[""PERFORMANCE""]",Detects if multiple permissive row level security policies are present on a table for the same `role` and `action` (e.g. insert). Multiple permissive policies are suboptimal for performance as each policy must be executed for every relevant query.,"Table `public.design_tags` has multiple permissive policies for role `authenticator` for action `SELECT`. Policies include `{design_tags_select_admin,design_tags_select_public}`",https://supabase.com/docs/guides/database/database-linter?lint=0006_multiple_permissive_policies,"{""name"":""design_tags"",""type"":""table"",""schema"":""public""}",multiple_permissive_policies_public_design_tags_authenticator_SELECT
multiple_permissive_policies,Multiple Permissive Policies,WARN,EXTERNAL,"[""PERFORMANCE""]",Detects if multiple permissive row level security policies are present on a table for the same `role` and `action` (e.g. insert). Multiple permissive policies are suboptimal for performance as each policy must be executed for every relevant query.,"Table `public.design_tags` has multiple permissive policies for role `dashboard_user` for action `SELECT`. Policies include `{design_tags_select_admin,design_tags_select_public}`",https://supabase.com/docs/guides/database/database-linter?lint=0006_multiple_permissive_policies,"{""name"":""design_tags"",""type"":""table"",""schema"":""public""}",multiple_permissive_policies_public_design_tags_dashboard_user_SELECT
